Wall time,Step,Value
1716710326.733204,1000,0.5882353186607361
1716710455.911304,3000,0.6764705777168274
1716710608.791762,4000,0.6941176652908325
1716710758.050777,6000,0.6705882549285889
1716710910.874369,8000,0.6764705777168274
1716711056.454162,9000,0.5676470398902893
1716711206.364775,11000,0.6470588445663452
1716711357.370779,13000,0.6705882549285889
1716711505.796643,14000,0.5882353186607361
1716711656.171809,16000,0.7352941036224365
1716711807.131169,18000,0.7147058844566345
1716711956.87147,20000,0.6911764740943909
1716712110.59886,21000,0.7117646932601929
1716712308.764843,23000,0.720588207244873
1716712440.155771,24000,0.679411768913269
1716712571.130239,25000,0.679411768913269
1716712721.661949,27000,0.7441176176071167
1716712869.243861,29000,0.6764705777168274
1716713020.292114,30000,0.7176470756530762
1716713171.787386,32000,0.6764705777168274
1716713315.876794,34000,0.6852940917015076
1716713467.389802,35000,0.7088235020637512
1716713623.844621,37000,0.6882352828979492
1716713772.934774,39000,0.7323529124259949
1716713922.171986,40000,0.658823549747467
1716714071.041012,42000,0.7058823704719543
1716714223.099962,44000,0.7176470756530762
1716714370.609104,45000,0.75
1716714521.446195,47000,0.7470588088035583
1716714667.497325,49000,0.6735293865203857
1716714818.424922,50000,0.770588219165802
1716714972.806953,52000,0.720588207244873
1716715121.734993,54000,0.75
1716715269.14907,55000,0.699999988079071
1716715422.256122,57000,0.6882352828979492
1716715574.287809,59000,0.75
1716715723.298361,60000,0.7441176176071167
1716715871.823092,62000,0.7764706015586853
1716716032.69073,63000,0.7823529243469238
1716716173.465366,65000,0.7470588088035583
1716716325.043365,67000,0.7147058844566345
1716716469.343489,68000,0.7441176176071167
1716716619.298971,70000,0.7558823823928833
1716716769.952531,72000,0.7647058963775635
1716716919.721712,73000,0.7764706015586853
1716717071.45428,75000,0.7647058963775635
1716717223.723446,77000,0.7558823823928833
1716717373.349584,78000,0.7676470875740051
1716717525.553083,80000,0.7588235139846802
1716717673.297506,82000,0.7852941155433655
1716717821.636638,83000,0.7941176295280457
1716717970.845943,85000,0.7764706015586853
1716718121.297624,87000,0.7882353067398071
1716718272.360998,89000,0.7558823823928833
1716718423.390051,90000,0.7735294103622437
1716718574.40868,92000,0.7823529243469238
1716718724.625108,93000,0.7882353067398071
1716718876.745273,95000,0.7911764979362488
1716719024.553573,97000,0.7882353067398071
1716719175.648907,98000,0.7852941155433655
1716719288.117423,100000,0.7852941155433655
